codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,outras,
51315,51315,51315,51315,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,21/03/2014,13:30:00,***,FINALIZADA,***,NÃO,NULL,,
51080,51080,51080,51080,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,22/03/2014,20:08:00,***,FINALIZADA,***,NÃO,NULL,,
51317,51317,51317,51317,INCIDENTE,BOTUCATU,SP,SDBK,22/03/2014,19:50:00,***,FINALIZADA,***,NÃO,NULL,,
51455,51455,51455,51455,INCIDENTE,BARRA DO PIRAÍ,RJ,****,22/03/2014,12:00:00,***,FINALIZADA,***,NÃO,NULL,,
50992,50992,50992,50992,ACIDENTE,RIBEIRÃO PRETO,SP,****,23/03/2014,13:55:00,SIM,FINALIZADA,A-060/CENIPA/2014,SIM,2018-09-04,,
50993,50993,50993,50993,ACIDENTE,PASSO FUNDO,RS,****,23/03/2014,17:50:00,***,FINALIZADA,A-061/CENIPA/2014,SIM,2015-03-05,,
51318,51318,51318,51318,INCIDENTE,UBERABA,MG,SBUR,23/03/2014,15:49:00,***,FINALIZADA,***,NÃO,NULL,,
50994,50994,50994,50994,ACIDENTE,HUMBERTO DE CAMPOS,MA,****,24/03/2014,13:30:00,***,FINALIZADA,A-062/CENIPA/2014,SIM,2015-02-09,,
51319,51319,51319,51319,INCIDENTE,BELÉM,PA,SBBE,24/03/2014,18:30:00,***,FINALIZADA,***,NÃO,NULL,,
51320,51320,51320,51320,INCIDENTE,ANÁPOLIS,GO,****,24/03/2014,18:45:00,***,FINALIZADA,***,NÃO,NULL,,
51081,51081,51081,51081,INCIDENTE,MACAÉ,RJ,****,25/03/2014,20:00:00,***,FINALIZADA,***,NÃO,NULL,,
51321,51321,51321,51321,INCIDENTE,CAMPO GRANDE,MS,SBCG,25/03/2014,18:57:00,***,FINALIZADA,***,NÃO,NULL,,
50995,50995,50995,50995,ACIDENTE,POTIRENDABA,SP,****,26/03/2014,21:20:00,***,FINALIZADA,A-063/CENIPA/2014,SIM,2015-02-09,,
50996,50996,50996,50996,ACIDENTE,DOM PEDRITO,RS,****,26/03/2014,21:45:00,***,FINALIZADA,A-064CENIPA2014,SIM,2016-03-18,,
51322,51322,51322,51322,INCIDENTE,SALVADOR,BA,****,26/03/2014,13:58:00,***,FINALIZADA,***,NÃO,NULL,,
50923,50923,50923,50923,INCIDENTE,FORTALEZA,CE,SBFZ,28/03/2014,19:19:00,***,FINALIZADA,***,NÃO,NULL,,
50998,50998,50998,50998,ACIDENTE,SANTA RITA DO ARAGUAIA,GO,SIFH,28/03/2014,19:15:00,***,FINALIZADA,A-065/CENIPA/2014,SIM,2014-10-14,,
50999,50999,50999,50999,ACIDENTE,BRASÍLIA,DF,SBBR,28/03/2014,20:42:00,SIM,FINALIZADA,A-066/CENIPA/2014,SIM,2020-05-29,,
51000,51000,51000,51000,ACIDENTE,BRAGANÇA PAULISTA,SP,SBBP,29/03/2014,20:45:00,SIM,FINALIZADA,A-067/CENIPA/2014,SIM,2017-11-30,,
51323,51323,51323,51323,INCIDENTE,CAMPO GRANDE,MS,SBCG,30/03/2014,05:29:00,***,FINALIZADA,***,NÃO,NULL,,
51324,51324,51324,51324,INCIDENTE,CAMPINAS,SP,SBKP,30/03/2014,22:54:00,***,FINALIZADA,***,NÃO,NULL,,
51325,51325,51325,51325,INCIDENTE,CURITIBA,PR,SBBI,03/04/2014,22:23:00,***,FINALIZADA,***,NÃO,NULL,,
50974,50974,50974,50974,ACIDENTE,CORGUINHO,MS,SSKG,04/04/2014,12:00:00,***,FINALIZADA,A-068/CENIPA/2014,NÃO,NULL,,
51326,51326,51326,51326,INCIDENTE,GUARULHOS,SP,****,04/04/2014,06:25:00,***,FINALIZADA,***,NÃO,NULL,,
51327,51327,51327,51327,INCIDENTE,UBERLÂNDIA,MG,SBUL,05/04/2014,11:32:00,***,FINALIZADA,***,NÃO,NULL,,
50919,50919,50919,50919,ACIDENTE,CAMPO BONITO,PR,****,06/04/2014,10:25:00,***,FINALIZADA,A-069/CENIPA/2014,SIM,2014-10-14,,
51001,51001,51001,51001,ACIDENTE,ARIPUANÃ,MT,****,06/04/2014,11:30:00,***,FINALIZADA,A-070/CENIPA/2014,SIM,2018-04-05,,
50973,50973,50973,50973,ACIDENTE,ARAPONGAS,PR,SSOG,07/04/2014,14:35:00,***,FINALIZADA,A-071/CENIPA/2014,SIM,2015-04-30,,
51328,51328,51328,51328,INCIDENTE,PORTO VELHO,RO,SBPV,07/04/2014,18:15:00,SIM,FINALIZADA,***,NÃO,NULL,,
51330,51330,51330,51330,INCIDENTE,CABO FRIO,RJ,****,07/04/2014,17:15:00,***,FINALIZADA,***,NÃO,NULL,,
51336,51336,51336,51336,INCIDENTE,BELO HORIZONTE,MG,SBBH,08/04/2014,22:45:00,***,FINALIZADA,***,NÃO,NULL,,
50918,50918,50918,50918,ACIDENTE,AMERICANA,SP,SDAI,09/04/2014,14:40:00,***,NULL,NULL,NÃO,NULL,,
50921,50921,50921,50921,INCIDENTE,SANTANA DO PARAÍSO,MG,SBIP,09/04/2014,16:30:00,***,FINALIZADA,***,NÃO,NULL,,
50922,50922,50922,50922,INCIDENTE,FOZ DO IGUAÇU,PR,SBFI,09/04/2014,18:08:00,***,FINALIZADA,***,NÃO,NULL,,
50985,50985,50985,50985,ACIDENTE,PATOS DE MINAS,MG,****,09/04/2014,10:00:00,***,FINALIZADA,A-074/CENIPA/2014,SIM,2015-04-30,,
51027,51027,51027,51027,INCIDENTE GRAVE,GUARULHOS,SP,SBGR,09/04/2014,16:17:00,***,FINALIZADA,IG-073/CENIPA/2014,SIM,2015-04-24,,
51031,51031,51031,51031,INCIDENTE GRAVE,MIRANORTE,TO,****,09/04/2014,17:30:00,***,FINALIZADA,IG-072/CENIPA/2014,SIM,2014-11-18,,
51337,51337,51337,51337,INCIDENTE,BELO HORIZONTE,MG,SBBH,10/04/2014,19:44:00,***,FINALIZADA,***,NÃO,NULL,,
51338,51338,51338,51338,INCIDENTE,SALVADOR,BA,SBSV,10/04/2014,11:30:00,***,FINALIZADA,***,NÃO,NULL,,
51082,51082,51082,51082,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,11/04/2014,01:00:00,***,FINALIZADA,***,NÃO,NULL,,
51013,51013,51013,51013,ACIDENTE,EDÉIA,GO,****,12/04/2014,19:30:00,***,NULL,NULL,NÃO,NULL,,
51083,51083,51083,51083,INCIDENTE,GOIÂNIA,GO,SBGO,12/04/2014,15:59:00,***,FINALIZADA,A DEFINIR,SIM,2018-03-09,,
51339,51339,51339,51339,INCIDENTE,JOINVILLE,SC,SBJV,13/04/2014,15:19:00,***,FINALIZADA,***,NÃO,NULL,,
51340,51340,51340,51340,INCIDENTE,VÁRZEA GRANDE,MT,SBCY,14/04/2014,19:00:00,***,FINALIZADA,***,NÃO,NULL,,
51002,51002,51002,51002,ACIDENTE,RIO GRANDE,RS,SJRG,15/04/2014,18:45:00,***,FINALIZADA,A-075/CENIPA/2014,SIM,2015-04-24,,
51341,51341,51341,51341,INCIDENTE,BELÉM,PA,SBJC,15/04/2014,20:53:00,***,FINALIZADA,***,NÃO,NULL,,
51003,51003,51003,51003,ACIDENTE,IRANDUBA,AM,****,16/04/2014,20:40:00,SIM,FINALIZADA,A-076/CENIPA/2014,SIM,2014-11-24,,
51018,51018,51018,51018,INCIDENTE GRAVE,RIO DE JANEIRO,RJ,SBJR,16/04/2014,17:07:00,***,NULL,NULL,NÃO,NULL,,
51342,51342,51342,51342,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,17/04/2014,03:10:00,***,FINALIZADA,***,NÃO,NULL,,
51391,51391,51391,51391,ACIDENTE,CURITIBA,PR,SBBI,17/04/2014,15:35:00,SIM,FINALIZADA,A-077/CENIPA/2014,SIM,2015-04-30,,
